"Commodity","Time","Country","Quantity","Value","ImportPrice","Impute"
"Rice",2016-01-01,"PAK",74270,25669000,345.617342130066,0
"Rice",2016-01-01,"THI",110014.2,65690000,597.104737388446,0
"Rice",2016-01-01,"VIN",80462.4,35257000,438.17982063672,0
"Rice",2016-02-01,"PAK",38825,13891000,357.784932388925,0
"Rice",2016-02-01,"THI",84928.3,37381000,440.14774815933,0
"Rice",2016-02-01,"VIN",40367.5,18510000,458.537189570818,0
"Rice",2016-03-01,"PAK",104031,36458000,350.453230287126,0
"Rice",2016-03-01,"THI",102535.4,56879000,554.725489928356,0
"Rice",2016-03-01,"VIN",192618.2,87695000,455.27888849548,0
"Rice",2016-04-01,"PAK",99484,34948000,351.292670178119,0
"Rice",2016-04-01,"THI",64562,33806000,523.620705678263,0
"Rice",2016-04-01,"VIN",266352.9,122599000,460.28783617524,0
"Rice",2016-05-01,"PAK",128578.2,46035000,358.031143693099,0
"Rice",2016-05-01,"THI",125997.6,58276000,462.516746350724,0
"Rice",2016-05-01,"VIN",169330.8,81149000,479.233547588507,0
"Rice",2016-06-01,"PAK",54500,20004000,367.045871559633,0
"Rice",2016-06-01,"THI",54419.2,27689000,508.809390803246,0
"Rice",2016-06-01,"VIN",106726.5,51237000,480.077581481637,0
"Rice",2016-07-01,"PAK",11057,4157000.00000001,375.960929727775,0
"Rice",2016-07-01,"THI",29012.6000000001,14777000,509.330428848154,0
"Rice",2016-07-01,"VIN",106586.2,46359000,434.943735680604,0
"Rice",2016-08-01,"PAK",677,245999.999999985,363.367799113716,0
"Rice",2016-08-01,"THI",40343.5,23107000,572.75645395169,0
"Rice",2016-08-01,"VIN",138233.1,61270000,443.236822439777,0
"Rice",2016-09-01,"PAK",8050,5694393.99999999,707.378136645962,0
"Rice",2016-09-01,"THI",6912.58600000001,3588699.99999999,519.154481405365,0
"Rice",2016-09-01,"VIN",157847.072,70329144,445.552414174652,0
"Rice",2016-10-01,"PAK",24287.9999999999,10397606,428.09642621871,0
"Rice",2016-10-01,"THI",44802.6139999999,25123300,560.755227362404,0
"Rice",2016-10-01,"VIN",136352.528,59419856,435.781109976927,0
"Rice",2016-11-01,"PAK",69073.1000000001,23467000,339.741520215539,0
"Rice",2016-11-01,"THI",91660.7,40579000,442.708816319317,0
"Rice",2016-11-01,"VIN",128791.2,57168999.9999999,443.889023473653,0
"Rice",2016-12-01,"PAK",88433,28673000,324.234165978763,0
"Rice",2016-12-01,"THI",201467.8,103356000,513.014983039473,0
"Rice",2016-12-01,"VIN",94746.2000000002,42912000.0000001,452.915262036895,0
"Rice",2017-01-01,"PAK",31137,10105000,324.533513183672,0
"Rice",2017-01-01,"THI",96909.5,52914000,546.014580613872,0
"Rice",2017-01-01,"VIN",99573.1,46116000,463.137132418294,0
"Rice",2017-02-01,"PAK",18800,5997600,319.021276595745,0
"Rice",2017-02-01,"THI",59904,33223000,554.604033119658,0
"Rice",2017-02-01,"VIN",96106.8,45438000,472.786524990948,0
"Rice",2017-03-01,"PAK",46254,14629400,316.283997059714,0
"Rice",2017-03-01,"THI",106702.3,55228000,517.58959272668,0
"Rice",2017-03-01,"VIN",224897.4,105281000,468.129022389765,0
"Rice",2017-04-01,"PAK",23600,7546000,319.745762711865,0
"Rice",2017-04-01,"THI",162638.2,73545000,452.200036645757,0
"Rice",2017-04-01,"VIN",260127.4,119961000,461.162491917422,0
"Rice",2017-05-01,"PAK",9355,3182000,340.138963121325,0
"Rice",2017-05-01,"THI",162952.9,73292000,449.774137189335,0
"Rice",2017-05-01,"VIN",294871.6,133046000,451.199776445069,0
"Rice",2017-06-01,"PAK",6519.60000000001,2163600,331.860850358917,0
"Rice",2017-06-01,"THI",78819,37393000,474.416067191921,0
"Rice",2017-06-01,"VIN",206699.3,90754000,439.062928611756,0
"Rice",2017-07-01,"PAK",17558.3,5837400.00000001,332.458153693695,0
"Rice",2017-07-01,"THI",91722.6,42288000,461.042316724559,0
"Rice",2017-07-01,"VIN",160559.3,70902000,441.593853485909,0
"Rice",2017-08-01,"PAK",2674.20000000001,941999.999999998,352.254879964099,0
"Rice",2017-08-01,"THI",84821.9,40361000,475.83230274257,0
"Rice",2017-08-01,"VIN",167325,74328000,444.213357238906,0
"Rice",2017-09-01,"PAK",1099,560999.999999995,510.464058234754,0
"Rice",2017-09-01,"THI",54005.7999999999,25272000,467.949738731766,0
"Rice",2017-09-01,"VIN",217512.7,93592000,430.282921411025,0
"Rice",2017-10-01,"PAK",5415.29999999999,2011000,371.355234243718,0
"Rice",2017-10-01,"THI",55454.9,24779000,446.831569437507,0
"Rice",2017-10-01,"VIN",215361.8,94907000,440.686324129906,0
"Rice",2017-11-01,"PAK",29856.4,10962000,367.157460377005,0
"Rice",2017-11-01,"THI",79874.9,40854000,511.474818747817,0
"Rice",2017-11-01,"VIN",187088.1,85038999.9999999,454.539866512087,0
"Rice",2017-12-01,"PAK",80509.6,29705000,368.962210717728,0
"Rice",2017-12-01,"THI",82841.8999999999,45224000,545.907324675075,0
"Rice",2017-12-01,"VIN",134524.9,62340000,463.408632899932,0
"Wheat",2013-01-01,"AUS",17178.3,7116000,414.243551457362,0
"Wheat",2013-01-01,"CAN",158639,63376000,399.498231834543,0
"Wheat",2013-01-01,"USA",0,0,315.428747206917,1
"Wheat",2013-02-01,"AUS",11195.1,4190000,374.27088636993,0
"Wheat",2013-02-01,"CAN",147750,58742000,397.576988155668,0
"Wheat",2013-02-01,"USA",57751.2,20566000,356.113812353683,0
"Wheat",2013-03-01,"AUS",131045.7,46129000,352.006971613719,0
"Wheat",2013-03-01,"CAN",89500,35835000,400.391061452514,0
"Wheat",2013-03-01,"USA",62584.8,21345000,341.057253518426,0
"Wheat",2013-04-01,"AUS",82698.7,29053000,351.311447459271,0
"Wheat",2013-04-01,"CAN",57750,23292000,403.324675324675,0
"Wheat",2013-04-01,"USA",63044.6,24751000,392.595083480583,0
"Wheat",2013-05-01,"AUS",74769.9,25724000,344.042188099757,0
"Wheat",2013-05-01,"CAN",59874.2,22855000,381.716999976618,0
"Wheat",2013-05-01,"USA",144033.2,55229000,383.446316543686,0
"Wheat",2013-06-01,"AUS",128368.8,43297000,337.286007191779,0
"Wheat",2013-06-01,"CAN",68249.9999999999,26313000,385.538461538462,0
"Wheat",2013-06-01,"USA",14096.1,5367999.99999999,380.814551542624,0
"Wheat",2013-07-01,"AUS",73305.6,23623000,322.253688667715,0
"Wheat",2013-07-01,"CAN",10607.6000000001,3942000.00000001,371.620347675249,0
"Wheat",2013-07-01,"USA",218758.1,78005000,356.58108202622,0
"Wheat",2013-08-01,"AUS",16747,5532999.99999999,330.3875320953,0
"Wheat",2013-08-01,"CAN",1,999.999999985448,999.999999985448,0
"Wheat",2013-08-01,"USA",392878,130076000,331.084967852616,0
"Wheat",2013-09-01,"AUS",11286.1,3935999.99999999,348.747574449987,0
"Wheat",2013-09-01,"CAN",22016,7713000.00000003,350.336119186048,0
"Wheat",2013-09-01,"USA",656955.3,213756000,325.373735473327,0
"Wheat",2013-10-01,"AUS",15404.4,5188000.00000003,336.786892056816,0
"Wheat",2013-10-01,"CAN",157195.2,54868000,349.043736704429,0
"Wheat",2013-10-01,"USA",1108175.1,357634000,322.723367453393,0
"Wheat",2013-11-01,"AUS",15480.2000000001,5137999.99999999,331.90785648764,0
"Wheat",2013-11-01,"CAN",60376,20742000,343.547104809858,0
"Wheat",2013-11-01,"USA",767329.2,247617000,322.69982688004,0
"Wheat",2013-12-01,"AUS",38618.7,13582000,351.694904282123,0
"Wheat",2013-12-01,"CAN",0,0,379.076937660381,1
"Wheat",2013-12-01,"USA",296153.3,96092000,324.467091874377,0
"Wheat",2014-01-01,"AUS",319035.7,102177000,320.268233304298,0
"Wheat",2014-01-01,"CAN",83385.8,29385000,352.398130137266,0
"Wheat",2014-01-01,"USA",256501.198,81341861,317.120783973882,0
"Wheat",2014-02-01,"AUS",240781.3,76579000,318.043801574292,0
"Wheat",2014-02-01,"CAN",41275,14298000,346.40823743186,0
"Wheat",2014-02-01,"USA",249247.071,82247036,329.981955936405,0
"Wheat",2014-03-01,"AUS",325749.1,104245000,320.016233352602,0
"Wheat",2014-03-01,"CAN",38267.1,13583000,354.952426496913,0
"Wheat",2014-03-01,"USA",77275.1310000001,24727103,319.98784964855,0
"Wheat",2014-04-01,"AUS",186052.6,60840000,327.004298784322,0
"Wheat",2014-04-01,"CAN",139907,48772000,348.603000564661,0
"Wheat",2014-04-01,"USA",1.90000000002328,3000.0000000291,1578.94736841702,0
"Wheat",2014-05-01,"AUS",147420.2,47343000,321.143235458913,0
"Wheat",2014-05-01,"CAN",0,0,357.470955248667,1
"Wheat",2014-05-01,"USA",45150.1,15613000,345.802113395098,0
"Wheat",2014-06-01,"AUS",12465.6000000001,4369000.00000001,350.484533436014,0
"Wheat",2014-06-01,"CAN",2511.09999999998,768000.000000011,305.842061248066,0
"Wheat",2014-06-01,"USA",80081.2,28613000,357.299840661728,0
"Wheat",2014-07-01,"AUS",8623.19999999995,3332999.99999996,386.515446701917,0
